Time         X         Y        Az
  11.768 -99.701 -99.696 232.983
  11.784-100.612-100.623 225.534
  11.799-101.635-101.425 218.086
  11.815-102.753-102.088 210.637
  11.831-103.948-102.600 203.189
  11.847-105.199-102.952 195.740
  11.860-106.486-103.140 188.292
  11.877-107.786-103.159 180.844
  11.909-109.077-103.009 173.395
  11.923-110.338-102.694 165.947
  11.939-111.548-102.217 158.498
  11.953-112.685-101.588 151.050
  11.969-113.732-100.817 143.601
  11.984-114.669 -99.916 136.153
  12.000-115.482 -98.902 128.704
  12.015-116.157 -97.790 121.256
  12.030-116.681 -96.601 113.807
  12.046-117.048 -95.353 106.359
  12.064-117.249 -94.069  98.911
  12.077-117.282 -92.770  91.462
  12.093-117.146 -91.477  84.014
  12.107-116.844 -90.212  76.565
  12.122-116.381 -88.998  69.117
  12.138-115.764 -87.853  61.668
  12.153-115.004 -86.799  54.220
  12.168-114.114 -85.852  46.771
  12.184-113.108 -85.028  39.323
  12.198-112.004 -84.341  31.875
  12.215-110.820 -83.804  24.426
  12.230-109.577 -83.424  16.978
  12.247-108.295 -83.209   9.529
  12.264-106.996 -83.162   2.081
  12.278-105.702 -83.283 354.632
  12.292-104.434 -83.572 347.184
  12.308-103.214 -84.022 339.735
  12.324-102.063 -84.626 332.287
  12.341-101.001 -85.375 324.838
  12.356-100.044 -86.255 317.390
  12.372 -99.209 -87.252 309.942
  12.388 -98.511 -88.348 302.493
  12.403 -97.961 -89.526 295.045
  12.419 -97.568 -90.765 287.596
  12.434 -97.339 -92.045 280.148
  12.450 -97.277 -93.344 272.699
  12.464 -97.385 -94.639 265.251
  12.480 -97.660 -95.910 257.802
  12.497 -98.097 -97.134 250.354
  12.511 -98.689 -98.291 242.905
  12.528 -99.426 -99.362 235.457
  12.543-100.296-100.328 228.011
  12.564-101.283-101.174 220.563
  12.578-102.372-101.884 213.114
  12.591-103.544-102.447 205.666
  12.604-104.779-102.854 198.217
  12.620-106.056-103.096 190.769
  12.636-107.354-103.172 183.321
  12.651-108.650-103.078 175.872
  12.667-109.924-102.817 168.424
  12.682-111.153-102.394 160.975
  12.699-112.316-101.814 153.527
  12.714-113.395-101.089 146.078
  12.731-114.371-100.229 138.630
  12.745-115.227 -99.251 131.181
  12.760-115.949 -98.170 123.733
  12.775-116.524 -97.004 116.285
  12.792-116.944 -95.774 108.836
